,caption,target,prediction,onnx
10,"Auction 
Exp green 🍀 with moonstone handle 🌚 honeystick bubblecap featuring a beautiful rainbow coin 🌈 opal top
Fits @quaveclubbangers 25mm flat top @highlyeducatedti gavel v2 @evanshorebangers 
25mm flat top bangers
@toro_glass 25mm Grail and other 25mm flat top bangers 
starting at 0 with increments of 10
Please tag the person you outbid and
Please have paypal ready and do NOT bid if you cannot pay! :)
Ends when I call it in a going once going twice fashion
Good luck and thanks for peeping 
#triplehelix #mettaterrania #rosinonlyhomie #gratefuldom  #love #peace #💗#bubblecap #grapegod #hashrosin #moltenaura #chicago #goldruby #goldenamethyst #serum #gemini #lowtemp #oprahswookclub #highlife #hightime #cannabis #weedstagram #pastelpotion #moonstone",1,1,1
11,"@lazercatcannabis Ponzi Scheme🤹🏻‍♂️🤹🏻‍♀️ Wish You Could Smell🥰 ❄️🔥.
.
.
.
.
.
.
. .
.
.
#lazercat#flower#weedofig#nugporn#nugs#herbalife#sunlight#GlassOfIG#GlassGameStrong#Glass#GlassPorn#HeadyGlassArt#FunctionalArt#Art#HeadyArt#FunctionalGlass#Boro#Heady#HeadyGlass#TopShelf#OprahsBookClub#Travel#Quartz#DabOfTheDay#LetsSmoke#HighLife#CleanMeds#Solventless#710#LetsSesh",0,0,0
12,"A close encounter of the Jerry bear kind💜🧡
$45 message me if interested!

#bohemian #amputee #sepsissurvivor #bionicwoman #aliens #gratefuldead #cheechandchong #supportlocalartists #acrylicblog #headyart #arttherapy #mindtrip #paintpour #fluidpainting #trippyvibes #acrylicpainting #flourescentpaint #pourart #tranceaddict #creativeenergy #710community #ossur #dirtypour #fluidartfinds #abilitynotdisability #omahaartist #stonernation #abstractart_daily #psychedelic #alienabduction",0,0,0
13,For sale @original_gongster pendant for $2800 shipped. Comes with stand.🌀👅,0,0,0
14,Got a bunch of bubblecaps in stock! Let's make a deal before I empty this case at some stores! I can offer you $10 off retail pricing on any bubblecap in this case! The green and yellow caps are only $35 retail while any (full body and half and half) of the crushed opal ones are $60 retail. DM me and let's make a deal! Free 2-3 day shipping!! #glass4sale #glass_of_ig #glass #glassart #glassblown #sherlock #glassblowing #boro #glasspipe #glasslife #glassartist #pipe #glassofig #buyboro #pipesofig #stoner #bho #errl #dabber #carbcap #headyart #bubblecaps #girlswhosmoke #glassopals #opals #opal #bubblecap,0,0,0
15,Go follow @6toof_glass ! He is giving away some glass for his #2kgiveaway #6toofglass #monsterpipe #jointholder #bubblecap #handblownglass #americanmade,0,0,0
16,"🚨24 Hour Auction🚨
Infinity nectar collector water filtration (comes with anodized titanium tip) Leave your bids in the comments below!
Artist: @leebrodee
👇👇AUCTION RULES👇👇
👉Starting Bid: $160
👉Bid Increments: $10 minimum
👉Tag the person you outbid
👉Highest Bidder Wins
👉Free International Shipping
👉Credit or Debit Card
👉Ends Monday 8:30 P.M. ET
👉Shipping Same Week
👉Optional: Add Handmade Parachute Necklace Only $10
👉24/7 support available @xfadesupport
PAYMENT IS DUE IMMEDIATELY AT CONCLUSION OF AUCTION; FAILURE TO PAY IS BLOCK —————————————————————
#xfade #headyglassforsale #shop #artist #headyglass #gallery #headshop #glassforsale #headylife #artist #glassart #glassartist #art #glassappreciation #glasscollector #collectible #pendy #glasspendant #pendant #heady #highendglass #borosilicate #highlife #boro #glass",1,1,1
17,"@twinkletoesglass bubble cap drop!
Available in Terps, Green lunar rays, Spacetech, Meta Terania. Shoot us a DM to secure yours.
📸:@anthonyeg6
*
*
*
*
#LaTiaSmokeShop #latia #bubblecap #carbcaps #directionalcarbcap #terps #terpsauce #americanmadeglass #boroglass #boroofinstagram #twinkletoes #zach #glassofmass #spacetech #cannabis #710society #oil #420life #boroofinstagram 
#BoroGlass",0,0,0
18,Witch finger pendent. Available dm me for questions. #heady #headyart #headyglassart #glassblowing #mint #pink #ivory #witchfinger #halloween,0,0,0
19,"Custom Illuminati set that I just finished up!💚🔦 nfs
.
.
.
#sandtimer #illuminatiglass #uvglass  #bubblecap #handmade #glass #carbcap #bubblecaps #glassart #glassofig #glassporn #thousanddollarsmoke #contemporaryart #oprahsbookclub #lowtemp #710 #710society #wasteittotasteit #headyglass #glasslife #420 #art #artlife #dab #dablife #dabstagram #dabbingdaily #heady #jng #jngstudios",0,0,0
20,"Moving sales incoming! Layered custom remixed sparkly blue butterfly pendant, $120 shipped 🦋 these are tricky and normally retail for $350. I’m gonna make some super good deals on pieces and offer them up here. If you’re interested comment dibs and DM me. First come first serve!! The three loops on the back are to make it hang perfectly as a pendant #flamework #flameworking #lampwork #lampworking #glass #glassofig #headyart #glasspendant #pendantsofig #boro #borofauna #butterfly #butterflypendant #borosilicate",1,0,0
21,"New lights from the display cace 
#wire #wirewrappedjewelry #crystalart #gem #gemstones #oneofakind #instagood #artistsoninstagram #collection #gemporn #dmt #love #light #headyart #festivalfashion #festival",0,0,0
22,"💎AUCTION💎 🌡Bidding starts at $55⚖Increments of $5 🕚Ends when it's over💎 going once, twice style✈️Reserve: none B.I.N.: 150🎨 Artist: @Thirdeyepinecones 🌈Real Pinecone MORE INFO: Every “Natural” pendant is an elegant gift from Mother Nature -- unveiling the ornate Sacred Geometry hidden at the center of world’s densest Pinecone.
Because only one cross-section is taken from the “heart” of each Cone, every pendant is absolutely unique, and truly the one-of-a-kind. 🍀💎🔥🦃 ⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀ ⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀ ⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀ ⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀ ⠀⠀ ⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀ ⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀ ⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀ ⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀ 🔥www.TheHeadyKingdom.com🔥(link in bio) ⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀ ⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀ ⠀⠀⠀ ⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀ ⠀⠀⠀⠀⠀ ⠀⠀⠀⠀⠀⠀⠀⠀ ⠀⠀⠀⠀⠀⠀⠀ ⠀⠀⠀⠀⠀⠀⠀⠀ Custom Bangers: @slightlyirrelephant🐘⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀ ⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀ ⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀ ⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀ ⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀ ⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀ ⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀ #Theheadykingdom#boroforsale#bangerbuddy #necklace#borosilicate#glassblowing #glassforsale #glass #glassofig#herbertarnold #pendant#recycler#glassforsale#glass4sale #fuckcancer#puffcopeak#boroforsale #guccimane#glasspendant #6star #tokertime#opal#boroglass #necklace#pendantsofig#pendants #puffcopeakattachment",1,1,1
23,"💥FOR SALE💥 $700 obo shipped @kjcustom torus up for grabs, color is deppes darkness, 14mm joint, great function, nice weight without water, comes in a hard case w/ spinner cap, swipe for function #functionalglassart #glassart #glasslife #thousanddollarsmoke #glass #heady #buyglass #glasslife #headyart #recycler #glass_of_ig #kjcustoms #glassforsale #glassofig #mothershipglass #boro4sale #glass4sale #torus #deppesdarkness #needanotherheady",0,0,0
24,"35mm Ether to Blue Dream fade bubble for your biggest bangers💯 came out dope lmk if you need .
.’.
#bubblecap #35mm #heady #spectatorglass",0,0,0
25,"#Illuminati and @greasy_glass satin purple bubble cap, glows in black light. Available soon when my shop is set up for $60.

#boro #glassofig #uvreactive #bubblecap #dabs #710 #satin #greasyglass #northstarglass #glassgamestrong",0,0,0
26,"check it out friends, I finally got a fresh piece off the bench.  @jahraffe_extracts wanted a classy coaster for their dab mat from @njeastcoasters.  Padauk was chosen for the base and I couldnt agree on the choice more, something about that fire orange glow.  #skunkwoodz #classystoner #rollingtray #headshop #smokeshops #heady #headyart #710 #420 #glasscommunity #glasscollector #glasslife #710community #dabstagram710 #dabsociety #investinheadies #thousanddollarsmoke #oprahsbookclub #glassart #woodart #headyglass",0,0,0
27,"Auction! Pilchuck green double leaf pendant 🌿 aloha everyone, sorry it’s been a while! I’m still processing my awesome summer vacation and recovering from it as well 😉 this beauty was made for one of my demos during @vitrovixen’s class at @pilchuckglassschool last session. What a beautiful place even without any glasswork, the color green is everywhere in about a million different shades. Green can be tricky to make unique in glass as it has its own issues in chemistry and color tones or lack thereof so I’ve had to endlessly experiment with different layering combinations. I hope to teach a class about boro color at pilchuck someday! Signed and dated with pilchuck written below to show what a special piece this is for me, I rarely write anything else on a piece. My brand new stickers included as well! To bid please note my comment that will state “Bid Here”, all bids must be placed as a reply to this comment to keep them in order. Dm me with any questions please!!🌿🌈 Size - 2"" wide X 3"" tall X 1/2"" deep

Rules
1️⃣No starting bid, bids must be placed as a reply to my “Bid Here” comment. 
2️⃣Bidding increments of at least $10 please 
3️⃣Must be 18 years or older to bid 
4️⃣Shipping is $10 for US
5️⃣Please let me know if you are going to have me ship this across a border. 
6️⃣Must be ready to pay immediately by PayPal only, no exceptions!!! Non payment in 24 hours from the closing of auction will get you banned!!!
7️⃣Bidding ends when I call it around  24 hours after posting this photo. I will tag and repost hours before ending. 
Please feel free to dm me with questions. 
Happy bidding!
#glassauction #flamework #flameworking #lampwork #lampworking #glass #glassofig #headyart #glasspendant #fadedaf  #pendantsofig #leafpendant #leaf #boroleaf #boro #boroflora #borosilicate #noleafpress",1,1,1
28,La prima comunione di Anna • Bubbles🎈,0,0,0
29,@opinicus9 spinner/low key bubble cap! Two holes for a nice carb flow and it still spins 💯dm for 1. Have a nice say and day. #glassartist #opinicus9 #madlib #inception #spinner #glassspinner #bubblecap #710society #420jazz #dabs  #420glass #totem #art #functionalart #carbcap,0,0,0
30,"#nolight #SALE @berzerker_glass rig is clear in the natural sunlight, multi color UV under blacklight and glows in the dark with no lights on just like the @elboglass @moodmats Grab either the rig, pendant or both for a deal!! #PipeNJ.com 
#GlassArt 
#yoda 
#darthvader 
#starwars
#pendantsforsale 
#PendantsofIG 
#HeadyArt 
#headyglassforsale 
#headyglass",0,0,0
31,🐰⛓ Caged Bunny 🙊🐰 come see her tonight at @theropecollective Coming Out Party! ⛓🐰💋,0,0,0
32,"💥🔥auct1on💥🔥 18mm SLIDE 4 hole screen 
Mystery adventurine slide with opal an horn
1.starts at $30
2. Increments of $5
3. BIN $100
4. Be ready to pay at auctions end
5. Tag the previous bidder
6. winner pay shipping $5
7. Back out or bail an get blocked
7. US & CANADA only
8. 🇨🇦 add $5 for shipping 
#glassforsale #glassauction #glass_of_ig #glassofig #eugeneoregon #eugeneglass  #710movement #cfl #opal #sovereigntyglass #dabbersdaily # #bowlslide #slidesofig #420 #ganjamafia #ganjalover #slidesforsale #collectorsglass #martinislide #oregonglass @oregonglassblowers #jarredbennettglass",1,1,1
33,"Puffco Peaks!! OG, Medusa, Neon, and Lucids in stock @puffco #puffco #puffcopeak Dania Beach, FL🌴 Hookah, E cigarettes, Mods, Vapor, E-juice Pipes, WaterPipes, Tobacco accessories, Glass Art and more! #smokeshop #vaporshop #daniabeach #daniabeachpier #broward  #davie #ftl #hollywood #southflorida #hookah #vapefam #vapecommunity #vapor #vaporizer #ejuice #headyart #highendglass #glassforsale #glassart #theglassmarket #functionalart #functionalglassart #headyglass #glassporn #glassfam",0,0,0
34,Working on something crazy! #terpsauce #stonerfam #thousanddollarsmoke #dabsociety #bubblecap,0,0,0
35,"🔥🔥AUCTION🔥🔥
💎 7"" minitube with a 4 hole diffy & 14mm joint.💎
✔25mm flat top, 6mm quartz bead & V3 bubble cap included.✔
💲Starts at $40. Please bid in increments of $5 or more.💲
✈Free domestic shipping over $100, or $10 for priority if below.✈
⏳Ends 24 hours after the first bid.⏳
🔞Please be payment ready. All flakes/fake bidders will be blocked. Keep it honest.🔞
Thanks for your support!🙏✌
.
.
.
#glass #glassart #lampwork #smoke #420 #710 #lapine #centraloregon #Oregon #oregonmade  #westcoast #highdesert #dabs #wax #shatter #rosin  #shatterday #bubblecap #bubblecaps #thermal #carbcap #topshelf #weshoulddab #weshouldsmoke #progress #hardwork #handspun #handmade #art",1,1,1
36,Set 4 a buddy SOld!!!!!!!!! #glassofig #glasspipes #pipesofig #headyglass #glass420 #glassart #artglass #chong #minirig #10mm #dab #mini #bubblecap #carbcap #710,0,0,0
37,"Badger x Jet Black dry is looking for its home. DM for details. 🌹

#BrainFreeZeBoro
#Classic
#Glass
#FUNctionalGlassArt
#GlassPipe
#GlassofIG
#OprahsBookClub 
#HeadyArt
#GlassCollector 
#710Society 
#Dabbersdaily 
#BrainFreeZe 
#DryGuy
#DryPipe 
#HandBlown
#DailyDriver
#Colorado",0,0,0
38,"More Honey-Comb #DabCoasters #Bubblecapholders from the homie @bubblecapdonuts. These Cradles Provide Great Function for Containing You’re #terppearls #bubblecaps & ANYTHING Else You Need to Keep Off the Table! 🍩🔌🐝
🍩
#bubblecapdonuts #bubblecapdonut #color #colors #art #artist #artistsoninstagram #concentrates #bubblecap #california #colorado #washington #710society #420 #headyglass #headys #smokeshop #headshop #enail #weed #cannabis #hash #rosin #resin #thc #smokesesh",0,0,0
39,"This little gem is made with @grandpaglass mint crushed opal, over lucy, with @glassalchemy bluedream under all that💎❤ this piece is so baller, i don't think i can possibly capture all the crushed opals shining in a photograph 🔥 quickly scooped by the homie @tripl_o and resides in his amazing collection 🙏🤝❤ Thanks for looking 🙌
#fupaglass #glass #boro #glassofig #errl #headyglass #dabstagram #fupa #monster #glassofig #dabs #rigs #10mm #glassjaw #glasseye #eye  #headyglassforsale #sculpture #character #mmj #shatter #rigsofig #fuledbythc #oprahsbookclub #fortwayne #fortwayneart #headyart #glassalchemy #420 #710",0,0,0
40,"Cfl shifts to a Robbins egg blue, swipe for a vid, comes with a matching bubble cap, this ones sold 🙏 #minitube #oprahsbookclub #glassart #dabbersunite #headyglassart #pendantsofig #glasscollector #glassforsale #katopod #bestofglass #dabbersofig #dabbersdaily #headypendant #headyglass #thousanddollsrsmoke #thousanddollarglass #boroballers #boroforsale #glass4sale #glassgallery #smokeshop #headshop #flglass #cflglass #greasyglass #bubbletrap #bubblecap #cfl #mitoa",0,0,0
41,"@puffco Bubble Cap made with @glassalchemy Raindrop! .
.
.
#glassofig#heady#headyglass#headies#dabs#puffco#puffcopeak#bubblecap#glassforsale#carbcap#glassporn#710#420#glassauction#cannabis#hightimes#boro",0,0,0
42,"What a Trip🖖🏾👽 - Coalescence
>>::<>::][::<⊙>::][::<>::<<
#shamanism #mysticism #psychedelia #psychedelics #psyart #futuristic #visionaryart #shaman #brc #ethereal #celestial #astral #luminous #galactic #visions #blackrockcity #electricforest #galaxies #ayahuasca #psytrance #psychedelictrance #fractal #trippyart #headyart #connected #quantum #ThirdEye #DMT #Holographic 
Original art from @samuelfarrand <~Follow Him!!!",0,0,0
43,"🚨24 Hour Auction🚨
Queen bee pendant. Leave your bids in the comments below!
Artist: @glyph_glass
(2 x 2 inches) (L x W)
👇👇AUCTION RULES👇👇
👉Starting Bid: $70
👉Bid Increments: $10 minimum
👉Tag the person you outbid
👉Highest Bidder Wins
👉Free International Shipping
👉Credit or Debit Card
👉Ends Thursday 7:00 P.M. ET
👉Shipping Same Week
👉Optional: Add Handmade Parachute Necklace Only $10
👉24/7 support available @xfadesupport
PAYMENT IS DUE IMMEDIATELY AT CONCLUSION OF AUCTION; FAILURE TO PAY IS BLOCK —————————————————————
#xfade #headyglassforsale #shop #artist #headyglass #gallery #headshop #glassforsale #headylife #artist #glassart #glassartist #art #glassappreciation #glasscollector #collectible #pendy #glasspendant #pendant #heady #highendglass #borosilicate #highlife #boro #glass",1,1,1
44,"Maple Syrup faceted cap by @gaspareti710 available for a great price!👌 These caps function amazing with the perfect seal and smooth swivel!💯💯 Facet cuts adding a subtle touch to the aesthetics!💎💎
Available by itself or with some fresh quartz for a great combo deal! Send us a DM if you're interested!",0,0,0
45,"Smoking on some #diamondog
Rig by @djack__ × @gonzoe_1 (Available) 
#bubblecap by @grasshoppa_glass
Sword by @tv.visuals
Banger by @highlyeducatedti
.
.
.
🤔#concentrate on #concentrates 🤔
#meltshot #stayhigh #highaf #highsociety #dabnation #cannabiscommunity #stoner #stonersociety #dab #shatter #budder #cannabis #gavel #stoned #weshouldsmoke #dabs #dabbersdaily #dabbing #glob #og #medicalmarijuana #medicalcannabis #terps #thca #indica #sativa",0,0,0
46,"@chillrelaxglass bubble cap drop💪🏼🙌🏼 40$ shipped for single colors, and 60$ shipped for the multi colored and reiti one📲
#chillrelaxglass
#bubblecap
#EastCoastDabbers
#710 #Shatter
#MothershipGang
#ThousandDollarSmoke
#HighlyEducatedTi
#MothershipGlass
#HeadyGlass
#HighlyEducated 
#MothershipForSale
#GlassForSale
#BuySellTradeGlass
#TopShelfLife #HoverGang
#PokerLife #BoroForTrade
#highsociety #ToroGlass
#GlassForTrade #GlassOfIg
#Hovercap #quartz
#Mothership #Meltshot
#HeadyGlassForSale
#Melt #glassgamestrong",0,0,0
47,Food-E 11-2,0,0,0
48,10 out of 42 left out of my 2nd set #bubbletrap #silverfume #goldfumed #710 #710community #bubblecap #hash #heady #headyglass #headyart #bubblecapsforsale #420vibes,0,0,0
49,"One of my favorite pieces 😍 So I’ve had this guy for years and just realized the entire head turns radioactive pink under certain UV light. I about died when I looked down at my pendy and saw that heater 😮😵🙌 [ Artist @glyph_glass ]
.
.
.
#glassart #glassofig #headyglass #pendy #glassforsale #glassauction #pendantsforsale #pendants #talisman #lostmarblefound #710society #420community #headshop #smokeshop #hempfest #positivevibesonly #thirdeye #glassvegas #vegasartist #loudtreelabel #headyart #glassblowing #thirdeyebuddha #trippyart #buddhahead #buddhistart #psychedelicart #borosilicate #glyphglass",0,0,0
50,Inlove with these carb cap stands 👌👌 @daft_atx @thenotoriouspak #madscientistmarket,0,0,0
51,Last straight fab by @mothership_glass available for purchase. Contact us via DM. #mothershipglass  #heady #headyart #headylife #headyglass #headyglassforsale #headyglassart #glass #glassart #glassof52 #glassofig #glassporn #oprahsbookclub #thousanddollarsmoke #bestofglass #710society #high_larry_us #fueledbythc #ffourtwenty #glassofig #functionalglassart #ballersonly,0,0,0
52,FOR SALE! Hit the DM if interested #mothershipgang #mothershipcrew #mothershipforsale #mothershipglass #mothershipglassforsale #mothershipmonday #binarybanger #binarycap #headyglass #headyglassforsale #bubblecaps #bubblecap #bubblecapforsale #glassart #heady #dab #dabs #dabsrus #thousanddollarglass #stoner #hightimes #710society #710 #mothershipmafia #headyart #headyforsale #headyglassart #glassporn #glassofig,0,0,0
53,Dab of some hash rosin on my @kenta_kito klein I used to own🍯 @jong_glass Song is “lycoris” by @kilamdapro 💽 #function #meltshot #headyglass #kentakito #klein #pnwstoners #highlyeducatedti #gavel #jongglass #bubblecap #pdxdabbers #moodmats #happycabbagefarms #hashrosin #terps #solventless #lowtemp #oprahsbookclub #710community #tillthenextlife,0,0,0
54,"Scientific glass water pipe.good function.DM for price or click bio to buy.
.
.
.
.
.
.
.
 #glassart #glasswaterpipe #710 #420 #hbking #hbkingglass #headyart #bong #glassporn #weed #highlife #glassofig #glasswork #glassware #oilrig #recycler #bubbler #smokeshop #wholesale #cbdsyrup #headrush #headshop #smokeshopwholesale #headshoplife #headshopofig #scientificglass #uvglass #bongforsale #glassforsale",0,0,0
55,"The second one of this design. 
#glassofig #glassblowing #pipes #coloradoglass #10mmmafia #420 #rig #glass #nofilter #headyglass #glass4sale #glassforsale #oprahsbookclub #operationemptytheshelves #heady #headyglassforsale #headyart #smokeweedeveryday #weshouldsmoke #purple #eastcoastdabbers #errl #smokeshop #blessed #dailydabbers #dabs #dabsagram #dab #functionalglassart #dabsrus",0,0,0
56,"Which TRIPLE BUBBLE CAP stack do you like better?
Blue slyme or UV Circus?
.
Stay tuned for the final results....
DM for Bubble Caps 🔥🐵❤️",0,0,0
57,"""This 900mg CBD tincture is the only thing that helps me sleep through the whole night, and it helps with my nerve pain as well!"" - a quote directly from one of our many satisfied customers. She was practically gushing about how much CBD has done for her, and how she recommends it to everyone now. Are you a CBD convert?? Come in today to browse the highest quality available!
_____________________________________ 
#mjhog #mjhog420 #maryjanesgotglass #420 #redefineheadshop #Maryjanes #maryjaneshouseofglass #dissolvethestigma #CBD #glassofig #olympiawa #glasspipe #thousandollarsmoke #athlete #dailydabbers #funtionalglassart #headyglass #cbdsaves #cannabinoid #tumwater #urbanelixirs #oprahswookclub #heady #boroofig #bubblecap #dabstagram #mjhog710 #900mg #pipemaker #health",0,0,0
58,"Got this carb cap off the blowtube, but not as happy with the colors on this one. The cap that broke still has me pouting. Ha! All @momkasglass .

#icarbcap #carbcap #bubblecap #pendantsofig #pendant #carbcapforsale #bubblecapforsale #thermalcap #carbcaps #bubblecaps #carbcapsofig #bubblecapsofig #carbcapsforsale #bubblecapsforsale #glassforsale #boroforsale #heady #headyglass #glassblowing #glassart #instaglass #timeonthetorch #eye #pendants #giveaway #headyaf #boroofig",0,0,0
59,"Sketch No.5 
Definitely started getting crazier with this one and stepped outside of my comfort zone more.
This piece was done several months ago.

#art #originalart #pencildrawing #pencilart #coloredpencil #spiral #spiralart #trippy #trippyart #drawings #originaldrawing #geometricart #shapes #headyart #artjourney #haveyouartedtoday #nofilter #triangles #triangleart #illuminaticonfirmed",0,0,0
60,This crushed opal and slime @jameslangglass pipe is available👌📩 #headyglass #glassofig #glassforsale #heady #bestofglass #glassart #thousanddollarsmoke #cannabiscommunity #society #glass #oprahsbookclub #glassporn #headyglassforsale #dabbersdaily #dabs #boro #highlife #highsociety #cannabis #headyart #smokeshop #functionalglassart #weshouldsmoke #terps #weed #wedontsmokethesame #headshop #headyforsale #bong #glassforsale,0,0,0
61,Just a little bit of what our team does. #gemcityglass #ohioboro #boroforsale #oprahsbookclub #glassofig #fume #sherlock #spoons #bubblecap #dabber #onestopshop,0,0,0
62,"Hey y’all! Just wanting to remind you guys that this tube is up on my page right meow for auction. It’s ending tomorrow at 9am pst. So there is some time but wouldn’t you rather just check it out now? Lol Thank you!
#sailorsilica #sailormoon #sailormoonglass #cannabiscommunity #glassofig #headyart #glassforauction #glassauction #boroforsale #glassforsale",1,1,1
63,@eboxglassart made these adorable thumbprint tubes. They’re really small and cute! Come take a look at our boca location. #glass #glassart #headyglass #headyart #glassartist #itsnotwhatyousmokeitshowyousmokeit #grateful #gratefuljs #gratefuljsboca #cheyenneiguess🔮,0,0,0
64,"Purps & Greens Always a Favorite!🏰🔌 🔌
🔌
🔌🏰Owner: @moneymike7160 #ezlife 🔌
#headyglass #art #california #cannabis #420 #710 #dabs #dab #hightimes #weshouldsmoke #smokeshop #sauce #shatter #rosin #bubblecaps #bubblecap #carbcap #marijuana #bubblecapdonuts #dabstars #headies #smokeshopowners #headshop #concentrates #terpenes #banger #dabbing #dabcastle #thedabcastle",0,0,0
65,Dragons by artist @gusglass #glass #rig #waterpipe #glasscollector #bong #spoon #banger #pipes #chillum #recycler #sidecar #bubblecap #steamroller #nectarcollector #spubler #watson #oilrig #sherlock #nail #dabber #batteries #dabswords #minis #perculator #slides #insideout #fumed #colors #happycrab,0,0,0
